Name,Price,Relative Price,Units,Supermarket,Link,Image
Tesco Cauliflower Each,1.19,1.19,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/253558119,https://digitalcontent.api.tesco.com/v2/media/ghs/511426c3-7bed-4fa5-8aa5-558da130db97/15ffe954-5427-4ca1-b2fb-1edd3bebf25c_1893613264.jpeg?h=225&w=225
"Tesco British Whole Milk 2.272L, 4 Pints",1.45,0.64,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/254656399,https://digitalcontent.api.tesco.com/v2/media/ghs/2762563b-4d06-42ba-8204-e2180f541bac/c6991188-8932-4f8c-ab57-f803c4c08b18.jpeg?h=225&w=225
Tesco All Rounder Potatoes 2Kg,1.35,0.68,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/313165959,https://digitalcontent.api.tesco.com/v2/media/ghs/024b4156-ffce-497d-903f-3dcb297984ca/285b9274-2975-46a9-9a1c-a07c33bf4fff.jpeg?h=225&w=225
Tesco Beef Lean Steak Mince 500G 5% Fat,3.89,7.78,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/250871426,https://digitalcontent.api.tesco.com/v2/media/ghs/52c82575-dfb4-4bb4-95a1-fab5be4d08f7/10ea94d8-1347-443d-8033-e2d5cf1450a0.jpeg?h=225&w=225
Lurpak Slightly Salted Spreadable 500G,5.7,11.4,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/253886894,https://digitalcontent.api.tesco.com/v2/media/ghs/ae704d51-c3f2-40bf-8614-cddf76887e5e/b628e1a4-b22b-46ab-a195-3e239db4c60e.jpeg?h=225&w=225
Tesco Pink Lady Apple Minimum 5 Pack,2.8,0.56,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/284477542,https://digitalcontent.api.tesco.com/v2/media/ghs/0d2847b4-21a9-469a-ac35-489047c14928/5982efda-fde4-4011-afa5-9c32122cd4cd.jpeg?h=225&w=225
Tesco Large Free Range Eggs 12 Pack,3.15,0.26,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/260298456,https://digitalcontent.api.tesco.com/v2/media/ghs/6d9c98e5-b292-4ba4-9ce7-e7fda4f5a3d7/b7416db9-ce64-43b5-b251-915a4483d03a.jpeg?h=225&w=225
Cravendale Filtered Fresh Semi Skimmed Milk 2L Fresher for Longer,3.0,1.5,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/257264875,https://digitalcontent.api.tesco.com/v2/media/ghs/bb4a75a9-49bb-44fe-9c50-d66438973e3c/dd9f5d81-08aa-4aed-923d-d36705e16435.jpeg?h=225&w=225
Tesco Finest Clementine Or Sweet Easy Peeler 600G,2.5,4.17,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/288115395,https://digitalcontent.api.tesco.com/v2/media/ghs/a949ab7f-b948-46f2-9fcf-fe3030f7d494/7464fac6-8672-42ed-8f85-3c31c85d6324.jpeg?h=225&w=225
Tesco Large Free Range Eggs 6 Pack,1.95,0.32,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/250802567,https://digitalcontent.api.tesco.com/v2/media/ghs/1c6f3824-f3fe-4946-8195-75c1a5372110/8ebc9613-394d-42f0-86fa-95fc4b5957fc.jpeg?h=225&w=225
